"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2018S004474    ",10,"Sant Martí",72,"Sant Martí de Provençals",322608,"Selva de Mar","0231 0231","Dilluns","2018",6,"Juny","11","11","Gir indegut o sense precaució","Matí","433083.45 ","4585580.97","2.19814406971225","41.4171531827829"
"2018S006613    ",10,"Sant Martí",65,"el Clot",161101,"Independència","0250 0250","Divendres","2018",8,"Agost","31","15","Manca d'atenció a la conducció","Tarda","431934.16 ","4584454.66","2.18451968042250","41.4069122437300"
"2018S005526    ",10,"Sant Martí",65,"el Clot",42306,"Bilbao","0241 0243","Dimarts","2018",7,"Juliol","17","09","Gir indegut o sense precaució","Matí","432556.97 ","4584973.84","2.19191249393426","41.4116408894354"
"2018S001020    ",10,"Sant Martí",65,"el Clot",153205,"Guipúscoa","0016 0016","Dimecres","2018",2,"Febrer","7","13","Manca d'atenció a la conducció","Matí","432690.49 ","4585166.49","2.19348847044923","41.4133872348382"
"2018S008072    ",10,"Sant Martí",65,"el Clot",81603,"Clot","0165 0165","Dimarts","2018",10,"Octubre","23","17","Avançament defectuós/improcedent","Tarda","432411.1  ","4585107.29","2.19015239010841","41.4128305685902"
"2018S001344    ",10,"Sant Martí",72,"Sant Martí de Provençals",153205,"Guipúscoa","0077 0077","Dilluns","2018",2,"Febrer","19","13","Avançament defectuós/improcedent","Matí","433202.01 ","4585724.59","2.19954676414976","41.4184566001689"
"2018S002655    ",10,"Sant Martí",65,"el Clot",191204,"Mallorca","0628 0630","Dissabte","2018",4,"Abril","7","14","Canvi de carril sense precaució","Tarda","432211.14 ","4585084.11","2.18776263439740","41.4126049368133"
"2018S000116    ",10,"Sant Martí",65,"el Clot",115603,"Espronceda","0223 0223","Dissabte","2018",1,"Gener","6","10","Manca d'atenció a la conducció","Matí","432912.53 ","4584994.88","2.19616406808727","41.4118601757590"
"2018S006182    ",10,"Sant Martí",65,"el Clot",105304,"Dos de Maig","0208 0208","Divendres","2018",8,"Agost","10","17","Gir indegut o sense precaució","Tarda","431837.23 ","4584359.62","2.18337081380528","41.4060480267621"
"2018S000482    ",10,"Sant Martí",65,"el Clot",350308,"València","0676 0676","Divendres","2018",1,"Gener","19","09","No respectar distàncies","Matí","432352.05 ","4585035.22","2.18945397117745","41.4121764831404"
"2018S002196    ",10,"Sant Martí",70,"el Besòs i el Maresme",701266,"Litoral (Llobregat)","000590000","Dilluns","2018",3,"Març","19","08","No determinada","Matí","434871.49 ","4584474.96","2.21965720055703","41.4073386588815"
"2018S002268    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0855 0855","Dimecres","2018",3,"Març","21","16","Manca d'atenció a la conducció","Tarda","432457.7  ","4584419.73","2.19078673580562","41.4066418396852"
"2018S008536    ",10,"Sant Martí",70,"el Besòs i el Maresme",701449,"Josep Narcís Roca","0013X0013X","Dimecres","2018",11,"Novembre","7","20","Desobeir altres senyals","Tarda","434942.76 ","4585181.95","2.22043373605958","41.4137121310493"
"2018S006606    ",10,"Sant Martí",73,"la Verneda i la Pau",700037,"Binèfar","0002 0002","Divendres","2018",8,"Agost","31","13","Manca d'atenció a la conducció","Matí","433505.6  ","4586353.55","2.20311007237706","41.4241466669235"
"2018S007172    ",10,"Sant Martí",70,"el Besòs i el Maresme",701265,"Litoral (Besòs)","000590000","Dilluns","2018",9,"Setembre","24","12","Manca d'atenció a la conducció","Matí","434748.45 ","4584155.86","2.21821967802852","41.4044546104102"
"2018S008516    ",10,"Sant Martí",70,"el Besòs i el Maresme",701266,"Litoral (Llobregat)","000520000","Dimecres","2018",11,"Novembre","7","07","Canvi de carril sense precaució","Matí","435085.59 ","4584918.92","2.22217086302970","41.4113546411165"
"2018S007649    ",10,"Sant Martí",72,"Sant Martí de Provençals",3406,"Agricultura","0260 0260","Dimarts","2018",10,"Octubre","9","10","No respectar distàncies","Matí","433270.56 ","4585763.3 ","2.20036270641792","41.4188109509816"
"2018S000213    ",10,"Sant Martí",73,"la Verneda i la Pau",60807,"Cantàbria","0071 0071","Dimarts","2018",1,"Gener","9","16","Desobeir semàfor","Tarda","433225.1  ","4586424.57","2.19974568004427","41.4247630354809"
"2018S002213    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0108 0108","Dilluns","2018",3,"Març","19","15","Canvi de carril sense precaució","Tarda","433366.06 ","4585856.75","2.20149508792770","41.4196605610278"
"2018S008769    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0123 0125","Divendres","2018",11,"Novembre","16","15","Canvi de carril sense precaució","Tarda","433503.22 ","4586019.14","2.20311839953303","41.4211345351511"
"2018S009117    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0131 0135","Dijous","2018",11,"Novembre","29","10","Altres","Matí","433578.31 ","4586092.51","2.20400884090056","41.4218015749058"
"2018S007749    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0138 0138","Dijous","2018",10,"Octubre","11","19","Desobeir semàfor","Tarda","433532.63 ","4586021.37","2.20347006653669","41.4211570559355"
"2018S009754    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0138 0138","Dijous","2018",12,"Desembre","20","23","No respectat pas de vianants","Nit","433561.94 ","4586017.93","2.20382116069822","41.4211284992905"
"2018S003089    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0181 0181","Dissabte","2018",4,"Abril","21","19","Manca d'atenció a la conducció","Tarda","433452.25 ","4586276.66","2.20248014081692","41.4234497194401"
"2018S005625    ",10,"Sant Martí",70,"el Besòs i el Maresme",186703,"Llull","0428X0428X","Divendres","2018",7,"Juliol","20","08","Altres","Matí","434964.53 ","4585179.04","2.22069451469336","41.4136876850536"
"2018S006170    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0163 0165","Divendres","2018",8,"Agost","10","13","Desobeir semàfor","Matí","433653.97 ","4586136.52","2.20490934525526","41.4222042177712"
"2018S004398    ",10,"Sant Martí",71,"Provençals del Poblenou",144601,"Diagonal","0180 0182","Dijous","2018",6,"Juny","7","16","No respectar distàncies","Tarda","432717.58 ","4584267.9 ","2.19391258676688","41.4052961634502"
"2018S006919    ",10,"Sant Martí",73,"la Verneda i la Pau",169409,"Corts Catalanes","1125 1125","Dijous","2018",9,"Setembre","13","20","Manca d'atenció a la conducció","Tarda","433723.92 ","4585600.72","2.20580513171834","41.4173841946649"
"2018S007834    ",10,"Sant Martí",71,"Provençals del Poblenou",30409,"Bac de Roda","0119X0119X","Dilluns","2018",10,"Octubre","15","17","Gir indegut o sense precaució","Tarda","433417.82 ","4584654.75","2.20224683237353","41.4088387744829"
"2018S005011    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0149 0149","Divendres","2018",6,"Juny","29","13","Manca d'atenció a la conducció","Matí","433748.2  ","4586229.83","2.20602666340313","41.4230524178514"
"2018S007206    ",10,"Sant Martí",71,"Provençals del Poblenou",356202,"Veneçuela","0071 0071","Dimarts","2018",9,"Setembre","25","19","Manca d'atenció a la conducció","Tarda","433928.98 ","4584852.57","2.20834047014130","41.4106627070475"
"2018S002892    ",10,"Sant Martí",71,"Provençals del Poblenou",144601,"Diagonal","0152 0152","Dilluns","2018",4,"Abril","16","09","Gir indegut o sense precaució","Matí","433090.05 ","4584419.2 ","2.19835163333035","41.4066899977190"
"2018S007032    ",10,"Sant Martí",71,"Provençals del Poblenou",144601,"Diagonal","0152 0152","Dimecres","2018",9,"Setembre","19","10","Gir indegut o sense precaució","Matí","433090.05 ","4584419.2 ","2.19835163333035","41.4066899977190"
"2018S005307    ",10,"Sant Martí",71,"Provençals del Poblenou",200600,"Marroc","0001 0003","Dilluns","2018",7,"Juliol","9","18","No respectar distàncies","Tarda","433046.26 ","4584390.23","2.19783097834374","41.4064254234086"
"2018S006720    ",10,"Sant Martí",70,"el Besòs i el Maresme",44403,"Bolívia","0363 0363","Dimecres","2018",9,"Setembre","5","22","Manca precaució incorporació circulació","Nit","434109.13 ","4585613.77","2.21041277157367","41.4175334413863"
"2018S007178    ",10,"Sant Martí",70,"el Besòs i el Maresme",182509,"Lluís Dalmau","0029 0029","Dilluns","2018",9,"Setembre","24","18","Desconegut","Tarda","434353.43 ","4585868.46","2.21330817712736","41.4198473822574"
"2018S004045    ",10,"Sant Martí",70,"el Besòs i el Maresme",266405,"Prim","0040 0040","Divendres","2018",5,"Maig","25","06","No determinada","Matí","434515.19 ","4585255.01","2.21531019621187","41.4143354054400"
