"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_causa_mediata","Descripcio_torn","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2021S002857    ",8,"Nou Barris",52,"la Prosperitat",701268,"Dalt (Llobregat)","001510000","Diumenge","2021",5,"Maig","30","15","Manca d'atenció a la conducció","Tarda","431822.10","4588840.20","2.182684055","41.446399101"
"2021S005540    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",194406,"Maragall","0312 0312","Dilluns","2021",10,"Octubre","4","20","Gir indegut o sense precaució","Tarda","430629.23","4586752.81","2.168644816","41.42749652"
"2021S007511    ",8,"Nou Barris",52,"la Prosperitat",351901,"Valldaura","0271 0271","Dimecres","2021",12,"Desembre","22","20","No respectar distàncies","Tarda","431861.30","4588085.16","2.183238505","41.439602056"
"2021S006764    ",8,"Nou Barris",45,"Porta",256401,"Pintor Alsamora","0013X0013X","Dimecres","2021",11,"Novembre","24","10","Gir indegut o sense precaució","Matí","431539.31","4587570.09","2.179442972","41.4349356"
"2021S006691    ",8,"Nou Barris",52,"la Prosperitat",174307,"Júlia","0166 0168","Diumenge","2021",11,"Novembre","21","01","Manca d'atenció a la conducció","Nit","431549.30","4588690.34","2.179435546","41.445026138"
"2021S003026    ",8,"Nou Barris",52,"la Prosperitat",314905,"Santa Engràcia","0077 0077","Diumenge","2021",6,"Juny","6","19","No respectat pas de vianants","Tarda","431479.68","4588259.56","2.17865108","41.441140319"
"2021S001670    ",8,"Nou Barris",45,"Porta",24304,"Arnau d'Oms","0070 0070","Dimecres","2021",3,"Març","31","15","Desconegut","Tarda","431377.00","4587207.25","2.177541634","41.431653768"
"2021S002796    ",8,"Nou Barris",51,"Verdun",174307,"Júlia","0011 0013","Dijous","2021",5,"Maig","27","20","Altres","Tarda","431195.71","4588079.66","2.175272646","41.439495728"
"2021S003845    ",8,"Nou Barris",45,"Porta",255500,"Piferrer","0160 0162","Dissabte","2021",7,"Juliol","10","14","Manca d'atenció a la conducció","Tarda","431361.39","4587243.38","2.177350714","41.431977844"
"2021S003292    ",8,"Nou Barris",45,"Porta",319104,"Santapau","0091 0091","Dijous","2021",6,"Juny","17","08","Desobeir altres senyals","Matí","431508.79","4587296.72","2.1791087","41.432470849"
"2021S005947    ",9,"Sant Andreu",62,"el Congrés i els Indians",121402,"Felip II","0145 0147","Divendres","2021",10,"Octubre","22","15","Manca precaució incorporació circulació","Tarda","431845.79","4586238.87","2.183261158","41.422971833"
"2021S004080    ",8,"Nou Barris",45,"Porta",100209,"Deià","0047 0047","Dimarts","2021",7,"Juliol","20","16","Desobeir altres senyals","Tarda","431033.93","4587527.18","2.173399386","41.434505859"
"2021S006464    ",8,"Nou Barris",46,"el Turó de la Peira",342707,"Travau","0057 0057","Dijous","2021",11,"Novembre","11","17","Manca precaució efectuar marxa enrera","Tarda","430498.06","4587203.60","2.167023273","41.431545272"
"2021S007398    ",8,"Nou Barris",46,"el Turó de la Peira",119003,"Fabra i Puig","0358 0358","Diumenge","2021",12,"Desembre","19","06","Manca d'atenció a la conducció","Matí","430373.63","4587109.22","2.165545029","41.430684444"
"2021S005336    ",8,"Nou Barris",46,"el Turó de la Peira",342707,"Travau","0063 0063","Dissabte","2021",9,"Setembre","25","23","Manca precaució efectuar marxa enrera","Nit","430451.76","4587205.13","2.166468999","41.431555042"
"2021S006953    ",8,"Nou Barris",45,"Porta",356905,"Verdum","0022 0024","Dimecres","2021",12,"Desembre","1","20","Manca d'atenció a la conducció","Tarda","431087.51","4587841.12","2.174004817","41.437338003"
"2021S002670    ",8,"Nou Barris",46,"el Turó de la Peira",119003,"Fabra i Puig","0408 0408","Dijous","2021",5,"Maig","20","20","Manca d'atenció a la conducció","Tarda","430215.05","4587479.92","2.163604418","41.434009426"
"2021S002134    ",9,"Sant Andreu",62,"el Congrés i els Indians",140407,"Garcilaso","0165 0165","Dissabte","2021",4,"Abril","24","17","Manca d'atenció a la conducció","Tarda","431724.66","4586271.24","2.181808058","41.423253088"
"2021S004704    ",8,"Nou Barris",46,"el Turó de la Peira",103003,"Doctor Pi i Molist","0003 0003","Dimecres","2021",8,"Agost","25","21","Altres","Tarda","431120.17","4587107.57","2.174479362","41.430733989"
"2021S003893    ",9,"Sant Andreu",60,"Sant Andreu",201603,"Onze de Setembre","0001 0001","Dimarts","2021",7,"Juliol","13","10","Manca d'atenció a la conducció","Matí","432859.04","4586980.45","2.195303356","41.429736384"
"2021S000864    ",9,"Sant Andreu",63,"Navas",297001,"Sant Antoni Maria Claret","0273 0275","Divendres","2021",2,"Febrer","19","06","No determinada","Matí","431805.56","4585654.83","2.182845658","41.417708158"
"2021S002429    ",9,"Sant Andreu",63,"Navas",346402,"Trinxant","0113 0113","Dilluns","2021",5,"Maig","10","09","Desobeir semàfor","Matí","431728.64","4585582.55","2.181933469","41.41705062"
"2021S005220    ",9,"Sant Andreu",63,"Navas",121402,"Felip II","0045B0045B","Dilluns","2021",9,"Setembre","20","09","Manca d'atenció a la conducció","Matí","432292.56","4585774.28","2.188659266","41.418825214"
"2021S003440    ",9,"Sant Andreu",60,"Sant Andreu",220007,"Montsec","0027 0027","Dimarts","2021",6,"Juny","22","22","Manca d'atenció a la conducció","Nit","432201.98","4587379.92","2.187395301","41.433279054"
"2021S005216    ",9,"Sant Andreu",60,"Sant Andreu",239300,"Pare Manyanet","0046 0046","Diumenge","2021",9,"Setembre","19","22","Altres","Nit","432785.33","4586796.38","2.194441724","41.428072355"
"2021S001903    ",9,"Sant Andreu",63,"Navas",115603,"Espronceda","0369X0369X","Dimarts","2021",4,"Abril","13","20","Canvi de carril sense precaució","Tarda","432116.73","4585774.83","2.186555351","41.418815323"
"2021S003473    ",9,"Sant Andreu",60,"Sant Andreu",72409,"Castellbell","0037 0037","Dimecres","2021",6,"Juny","23","20","Desconegut","Tarda","432094.24","4587521.81","2.186089925","41.434547901"
"2021S003195    ",9,"Sant Andreu",63,"Navas",115603,"Espronceda","0341 0341","Diumenge","2021",6,"Juny","13","15","Gir indegut o sense precaució","Tarda","432386.92","4585499.99","2.189818988","41.416362717"
"2021S000936    ",9,"Sant Andreu",60,"Sant Andreu",242509,"Palomar","0016 0016","Dimarts","2021",2,"Febrer","23","15","No respectat pas de vianants","Tarda","432373.07","4588343.31","2.189335012","41.441970417"
"2021S002870    ",9,"Sant Andreu",57,"la Trinitat Vella",701268,"Dalt (Llobregat)","001570000","Diumenge","2021",5,"Maig","30","17","Desobeir semàfor","Tarda","432417.82","4588880.76","2.189810484","41.446814813"
"2021S007611    ",9,"Sant Andreu",60,"Sant Andreu",209900,"Meridiana","0494 0494","Dimarts","2021",12,"Desembre","28","18","Manca d'atenció a la conducció","Tarda","431994.09","4587752.17","2.184865377","41.436614195"
"2021S001685    ",9,"Sant Andreu",61,"la Sagrera",209900,"Meridiana","0274 0274","Dijous","2021",4,"Abril","1","13","Avançament defectuós/improcedent","Matí","432180.01","4585953.63","2.187292452","41.420431066"
"2021S005939    ",9,"Sant Andreu",60,"Sant Andreu",25001,"Arquímedes","0032 0032","Divendres","2021",10,"Octubre","22","07","No respectat pas de vianants","Matí","432208.27","4588137.90","2.187385497","41.440106454"
"2021S005924    ",9,"Sant Andreu",61,"la Sagrera",290159,"Rovira i Virgili","0003 0015","Dijous","2021",10,"Octubre","21","16","Avançament defectuós/improcedent","Tarda","432346.29","4586771.67","2.189190508","41.427812921"
"2021S000169    ",9,"Sant Andreu",61,"la Sagrera",292507,"Gran de la Sagrera","0002 0008","Dimarts","2021",1,"Gener","12","12","No determinada","Matí","432531.77","4585623.99","2.191538255","41.41749173"
"2021S003709    ",9,"Sant Andreu",61,"la Sagrera",121402,"Felip II","0108 0110","Diumenge","2021",7,"Juliol","4","22","No cedir la dreta","Nit","432060.97","4586062.11","2.185855878","41.421398048"
"2021S001752    ",9,"Sant Andreu",61,"la Sagrera",121402,"Felip II","0128 0130","Dimarts","2021",4,"Abril","6","21","Desobeir semàfor","Tarda","431950.94","4586183.15","2.18452566","41.422478899"
"2021S007276    ",9,"Sant Andreu",61,"la Sagrera",86108,"Concepción Arenal","0128 0130","Dimarts","2021",12,"Desembre","14","21","No determinada","Tarda","431941.63","4586492.89","2.184379375","41.425267838"
"2021S003801    ",9,"Sant Andreu",61,"la Sagrera",209900,"Meridiana","0276 0276","Dijous","2021",7,"Juliol","8","18","Fallada mecànica o avaria","Tarda","432175.59","4586026.52","2.187231385","41.42108719"
"2021S002718    ",9,"Sant Andreu",60,"Sant Andreu",339101,"Torras i Bages","0147 0147","Diumenge","2021",5,"Maig","23","13","Desobeir semàfor","Matí","432463.70","4588730.37","2.190376512","41.445464167"
"2021S005550    ",9,"Sant Andreu",59,"el Bon Pastor",126905,"Flix","0005 0005","Dimarts","2021",10,"Octubre","5","09","Canvi de carril sense precaució","Matí","433531.91","4587402.70","2.203309343","41.433595462"
"2021S000502    ",9,"Sant Andreu",60,"Sant Andreu",701267,"Dalt (Besòs)","0001E0000","Dilluns","2021",2,"Febrer","1","05","Canvi de carril sense precaució","Nit","432483.81","4588874.37","2.190601127","41.446762817"
"2021S001493    ",9,"Sant Andreu",57,"la Trinitat Vella",701497,"B-10 (Llobregat)","000020000","Dimarts","2021",3,"Març","23","13","No determinada","Matí","433172.78","4589158.40","2.198816948","41.449378667"
"2021S000338    ",9,"Sant Andreu",57,"la Trinitat Vella",209900,"Meridiana","0662 0662","Dijous","2021",1,"Gener","21","15","No respectar distàncies","Tarda","432288.30","4588965.24","2.188250599","41.447564774"
"2021S000549    ",9,"Sant Andreu",57,"la Trinitat Vella",209900,"Meridiana","0748 0756","Dimecres","2021",2,"Febrer","3","13","No respectar distàncies","Matí","432379.87","4589577.50","2.189278144","41.453086905"
"2021S004326    ",9,"Sant Andreu",57,"la Trinitat Vella",314100,"Santa Coloma","0107 0107","Dissabte","2021",7,"Juliol","31","23","Manca d'atenció a la conducció","Nit","433122.56","4589020.06","2.198231097","41.4481285"
"2021S000003    ",9,"Sant Andreu",57,"la Trinitat Vella",701431,"C-17 (Puigcerdà)","000010000","Divendres","2021",1,"Gener","1","18","No respectar distàncies","Tarda","432344.00","4589744.92","2.188829952","41.454591771"
"2021S002715    ",9,"Sant Andreu",60,"Sant Andreu",701502,"B-20 (Besòs)","001610000","Diumenge","2021",5,"Maig","23","00","Canvi de carril sense precaució","Nit","432814.38","4588964.17","2.194548194","41.447599367"
"2021S001636    ",9,"Sant Andreu",60,"Sant Andreu",103706,"Doctor Santponç","0098 0098","Dilluns","2021",3,"Març","29","18","Gir indegut o sense precaució","Tarda","432735.96","4587223.13","2.1938034","41.431911823"
"2021S001636    ",9,"Sant Andreu",60,"Sant Andreu",103706,"Doctor Santponç","0098 0098","Dilluns","2021",3,"Març","29","18","Manca d'atenció a la conducció","Tarda","432735.96","4587223.13","2.1938034","41.431911823"
"2021S007641    ",9,"Sant Andreu",60,"Sant Andreu",103706,"Doctor Santponç","0098 0098","Dijous","2021",12,"Desembre","30","07","No respectar distàncies","Matí","432735.96","4587223.13","2.1938034","41.431911823"
"2021S003358    ",9,"Sant Andreu",63,"Navas",226400,"Las Navas de Tolosa","0361 0361","Dissabte","2021",6,"Juny","19","13","Canvi de carril sense precaució","Matí","431801.97","4585712.62","2.182796184","41.418228349"
"2021S001848    ",9,"Sant Andreu",60,"Sant Andreu",339101,"Torras i Bages","0098 0100","Dissabte","2021",4,"Abril","10","16","Manca precaució incorporació circulació","Tarda","432521.17","4588176.05","2.191126393","41.440476431"
"2021S001926    ",9,"Sant Andreu",60,"Sant Andreu",314100,"Santa Coloma","0046 0046","Dimecres","2021",4,"Abril","14","21","Desobeir semàfor","Tarda","432706.23","4588795.75","2.193272352","41.446073401"
"2021S006329    ",9,"Sant Andreu",60,"Sant Andreu",314100,"Santa Coloma","0056 0056","Dissabte","2021",11,"Novembre","6","19","Desobeir altres senyals","Tarda","432879.34","4588875.42","2.195335672","41.446805463"
"2021S002015    ",9,"Sant Andreu",63,"Navas",209900,"Meridiana","0218 0218","Diumenge","2021",4,"Abril","18","15","Altres","Tarda","432170.14","4585463.57","2.18722934","41.416016414"
"2021S002015    ",9,"Sant Andreu",63,"Navas",209900,"Meridiana","0218 0218","Diumenge","2021",4,"Abril","18","15","Desobeir altres senyals","Tarda","432170.14","4585463.57","2.18722934","41.416016414"
"2021S000212    ",9,"Sant Andreu",63,"Navas",209900,"Meridiana","0228 0228","Dijous","2021",1,"Gener","14","18","No determinada","Tarda","432170.14","4585501.43","2.187225092","41.416357407"
"2021S003711    ",9,"Sant Andreu",63,"Navas",209900,"Meridiana","0246 0246","Dilluns","2021",7,"Juliol","5","02","Manca d'atenció a la conducció","Nit","432170.87","4585598.89","2.187222892","41.417235261"
"2021S000990    ",9,"Sant Andreu",63,"Navas",209900,"Meridiana","0248 0248","Dijous","2021",2,"Febrer","25","21","Canvi de carril sense precaució","Tarda","432170.87","4585607.25","2.187221954","41.417310557"
"2021S005060    ",9,"Sant Andreu",62,"el Congrés i els Indians",274505,"Ramon Albó","0072 0074","Dilluns","2021",9,"Setembre","13","16","Manca d'atenció a la conducció","Tarda","431359.22","4586651.00","2.177392045","41.426642299"
"2021S001132    ",9,"Sant Andreu",62,"el Congrés i els Indians",57904,"Campo Florido","0017 0017","Divendres","2021",3,"Març","5","13","Desobeir altres senyals","Matí","431716.14","4586068.86","2.181728972","41.421429594"
"2021S002220    ",9,"Sant Andreu",62,"el Congrés i els Indians",194508,"Maragall","0012 0012","Dijous","2021",4,"Abril","29","18","Manca d'atenció a la conducció","Tarda","431652.80","4585987.27","2.180980288","41.420689351"
"2021S000947    ",9,"Sant Andreu",61,"la Sagrera",292507,"Gran de la Sagrera","0133 0137","Dimecres","2021",2,"Febrer","24","08","Manca precaució incorporació circulació","Matí","432489.06","4586423.32","2.190937946","41.424687461"
"2021S003804    ",9,"Sant Andreu",62,"el Congrés i els Indians",204907,"Matanzas","0057 0057","Dijous","2021",7,"Juliol","8","22","Gir indegut o sense precaució","Nit","431759.10","4586328.87","2.182213662","41.42377507"
"2021S005795    ",9,"Sant Andreu",62,"el Congrés i els Indians",233701,"Olesa","0019 0019","Divendres","2021",10,"Octubre","15","08","Altres","Matí","431863.30","4586084.57","2.183488079","41.421583589"
"2021S005280    ",9,"Sant Andreu",63,"Navas",297001,"Sant Antoni Maria Claret","0355 0355","Dimecres","2021",9,"Setembre","22","14","Gir indegut o sense precaució","Tarda","432110.42","4585944.19","2.186460828","41.420340162"
"2021S001545    ",9,"Sant Andreu",61,"la Sagrera",292507,"Gran de la Sagrera","0037X0037X","Dijous","2021",3,"Març","25","13","No respectar distàncies","Matí","432505.30","4585853.45","2.19119592","41.419556182"
"2021S005812    ",9,"Sant Andreu",62,"el Congrés i els Indians",194406,"Maragall","0140 0140","Dissabte","2021",10,"Octubre","16","18","No cedir la dreta","Tarda","431466.80","4586224.07","2.178727838","41.422806276"
"2021S003137    ",9,"Sant Andreu",62,"el Congrés i els Indians",121402,"Felip II","0215 0215","Dijous","2021",6,"Juny","10","20","Manca d'atenció a la conducció","Tarda","431433.34","4586665.69","2.178277349","41.42678094"
"2021S002953    ",9,"Sant Andreu",61,"la Sagrera",140407,"Garcilaso","0074 0074","Dijous","2021",6,"Juny","3","17","Altres","Tarda","432074.32","4586263.62","2.185992973","41.423214114"
"2021S003665    ",9,"Sant Andreu",59,"el Bon Pastor",701266,"Litoral (Llobregat)","000180000","Divendres","2021",7,"Juliol","2","16","No respectar distàncies","Tarda","433967.54","4587894.74","2.208469185","41.438063081"
"2021S000279    ",9,"Sant Andreu",59,"el Bon Pastor",701266,"Litoral (Llobregat)","000180000","Dimarts","2021",1,"Gener","19","11","Canvi de carril sense precaució","Matí","433967.54","4587894.74","2.208469185","41.438063081"
"2021S003563    ",9,"Sant Andreu",60,"Sant Andreu",701326,"Fabra i Puig","0014 0014","Dilluns","2021",6,"Juny","28","12","Manca d'atenció a la conducció","Matí","432312.51","4587041.60","2.188756024","41.430241245"
"2021S005215    ",9,"Sant Andreu",60,"Sant Andreu",209900,"Meridiana","0444 0448","Diumenge","2021",9,"Setembre","19","21","Gir indegut o sense precaució","Tarda","431903.19","4587439.25","2.183812718","41.433788125"
"2021S000024    ",9,"Sant Andreu",60,"Sant Andreu",163107,"Irlanda","0028 0028","Dissabte","2021",1,"Gener","2","20","Altres","Tarda","432078.60","4587152.60","2.185944258","41.431221228"
